giocatore,link_a,link_b
Marcos Giron,https://www.atptour.com/en/players/marcos-giron/gc88/rankings-breakdown,https://www.atptour.com/en/players/marcos-giron/gc88/player-stats
Pedro Martinez,https://www.atptour.com/en/players/pedro-martinez/mo44/rankings-breakdown,https://www.atptour.com/en/players/pedro-martinez/mo44/player-stats
Mackenzie McDonald,https://www.atptour.com/en/players/mackenzie-mcdonald/mk66/rankings-breakdown,https://www.atptour.com/en/players/mackenzie-mcdonald/mk66/player-stats
Quentin Halys,https://www.atptour.com/en/players/quentin-halys/hb64/rankings-breakdown,https://www.atptour.com/en/players/quentin-halys/hb64/player-stats
Oscar Otte,https://www.atptour.com/en/players/oscar-otte/o449/rankings-breakdown,https://www.atptour.com/en/players/oscar-otte/o449/player-stats
Constant Lestienne,https://www.atptour.com/en/players/constant-lestienne/lb66/rankings-breakdown,https://www.atptour.com/en/players/constant-lestienne/lb66/player-stats
Federico Coria,https://www.atptour.com/en/players/federico-coria/ce77/rankings-breakdown,https://www.atptour.com/en/players/federico-coria/ce77/player-stats
J.J. Wolf,https://www.atptour.com/en/players/j.j.-wolf/w09g/rankings-breakdown,https://www.atptour.com/en/players/j.j.-wolf/w09g/player-stats
Daniel Elahi Galan,https://www.atptour.com/en/players/daniel-elahi-galan/ge33/rankings-breakdown,https://www.atptour.com/en/players/daniel-elahi-galan/ge33/player-stats
Richard Gasquet,https://www.atptour.com/en/players/richard-gasquet/g628/rankings-breakdown,https://www.atptour.com/en/players/richard-gasquet/g628/player-stats
Mikael Ymer,https://www.atptour.com/en/players/mikael-ymer/y268/rankings-breakdown,https://www.atptour.com/en/players/mikael-ymer/y268/player-stats
Laslo Djere,https://www.atptour.com/en/players/laslo-djere/db63/rankings-breakdown,https://www.atptour.com/en/players/laslo-djere/db63/player-stats
Thiago Monteiro,https://www.atptour.com/en/players/thiago-monteiro/mj08/rankings-breakdown,https://www.atptour.com/en/players/thiago-monteiro/mj08/player-stats
Bernabe Zapata Miralles,https://www.atptour.com/en/players/bernabe-zapata-miralles/z419/rankings-breakdown,https://www.atptour.com/en/players/bernabe-zapata-miralles/z419/player-stats
Ilya Ivashka,https://www.atptour.com/en/players/ilya-ivashka/i305/rankings-breakdown,https://www.atptour.com/en/players/ilya-ivashka/i305/player-stats
Roberto Carballes Baena,https://www.atptour.com/en/players/roberto-carballes-baena/cf59/rankings-breakdown,https://www.atptour.com/en/players/roberto-carballes-baena/cf59/player-stats
Daniel Altmaier,https://www.atptour.com/en/players/daniel-altmaier/ae14/rankings-breakdown,https://www.atptour.com/en/players/daniel-altmaier/ae14/player-stats
Kamil Majchrzak,https://www.atptour.com/en/players/kamil-majchrzak/mq75/rankings-breakdown,https://www.atptour.com/en/players/kamil-majchrzak/mq75/player-stats
Christopher O'Connell,https://www.atptour.com/en/players/christopher-o'connell/o483/rankings-breakdown,https://www.atptour.com/en/players/christopher-o'connell/o483/player-stats
Tomas Martin Etcheverry,https://www.atptour.com/en/players/tomas-martin-etcheverry/ea24/rankings-breakdown,https://www.atptour.com/en/players/tomas-martin-etcheverry/ea24/player-stats
Jiri Lehecka,https://www.atptour.com/en/players/jiri-lehecka/l0bv/rankings-breakdown,https://www.atptour.com/en/players/jiri-lehecka/l0bv/player-stats
Joao Sousa,https://www.atptour.com/en/players/joao-sousa/sh90/rankings-breakdown,https://www.atptour.com/en/players/joao-sousa/sh90/player-stats
Soonwoo Kwon,https://www.atptour.com/en/players/soonwoo-kwon/kf17/rankings-breakdown,https://www.atptour.com/en/players/soonwoo-kwon/kf17/player-stats
Jordan Thompson,https://www.atptour.com/en/players/jordan-thompson/tc61/rankings-breakdown,https://www.atptour.com/en/players/jordan-thompson/tc61/player-stats
Cristian Garin,https://www.atptour.com/en/players/cristian-garin/gd64/rankings-breakdown,https://www.atptour.com/en/players/cristian-garin/gd64/player-stats
Alejandro Tabilo,https://www.atptour.com/en/players/alejandro-tabilo/te30/rankings-breakdown,https://www.atptour.com/en/players/alejandro-tabilo/te30/player-stats
Ugo Humbert,https://www.atptour.com/en/players/ugo-humbert/hh26/rankings-breakdown,https://www.atptour.com/en/players/ugo-humbert/hh26/player-stats
Chun-Hsin Tseng,https://www.atptour.com/en/players/chun-hsin-tseng/t0ap/rankings-breakdown,https://www.atptour.com/en/players/chun-hsin-tseng/t0ap/player-stats
Roman Safiullin,https://www.atptour.com/en/players/roman-safiullin/sx50/rankings-breakdown,https://www.atptour.com/en/players/roman-safiullin/sx50/player-stats
Gregoire Barrere,https://www.atptour.com/en/players/gregoire-barrere/bk24/rankings-breakdown,https://www.atptour.com/en/players/gregoire-barrere/bk24/player-stats
Nuno Borges,https://www.atptour.com/en/players/nuno-borges/bt72/rankings-breakdown,https://www.atptour.com/en/players/nuno-borges/bt72/player-stats
Nikoloz Basilashvili,https://www.atptour.com/en/players/nikoloz-basilashvili/bg23/rankings-breakdown,https://www.atptour.com/en/players/nikoloz-basilashvili/bg23/player-stats
Facundo Bagnis,https://www.atptour.com/en/players/facundo-bagnis/bf23/rankings-breakdown,https://www.atptour.com/en/players/facundo-bagnis/bf23/player-stats
Taro Daniel,https://www.atptour.com/en/players/taro-daniel/da81/rankings-breakdown,https://www.atptour.com/en/players/taro-daniel/da81/player-stats
Thanasi Kokkinakis,https://www.atptour.com/en/players/thanasi-kokkinakis/kd46/rankings-breakdown,https://www.atptour.com/en/players/thanasi-kokkinakis/kd46/player-stats
Tallon Griekspoor,https://www.atptour.com/en/players/tallon-griekspoor/gj37/rankings-breakdown,https://www.atptour.com/en/players/tallon-griekspoor/gj37/player-stats
Ben Shelton,https://www.atptour.com/en/players/ben-shelton/s0s1/rankings-breakdown,https://www.atptour.com/en/players/ben-shelton/s0s1/player-stats
